id,name,model_type,created_ts
a4626be4-4470-4251-8693-0cfda6436f1b,"MVP Clustering",CLUSTERING,1663961846
31270f09-cf63-4887-8ade-01995fac7964,"MVP Pricing",PRICING,1663961846
